fold_id,feature_map_name,feature_map_reps,ansatz_reps,entanglement,element test,actual test,predicted test,element train,actual train,predicted train,R2 train
19,Pauli,1,1,linear,['Os'],[38.54],[16.11359456],['Be' 'Sc' 'Ti' 'Co' 'Zn' 'Y' 'Zr' 'Tc' 'Ru' 'Pr' 'Nd' 'Gd' 'Tb' 'Dy' 'Ho' 'Er' 'Tm' 'Lu' 'Re' 'Tl'],[23.48 16.16 24.44 37.64 20.98  8.52 22.18 36.19 40.5   1.65  0.25  5.2   6.17  7.06  7.82  8.45  8.96  9.75 35.35 22.09],[17.12876746 18.40339888 19.11373455 28.18062203 18.4661755   8.84130491 20.67242196 31.73557474 36.63627406 10.11333276  8.35294305  8.46071717  9.73940029 11.02257004 12.14297275 14.3405678  15.95359536 17.61210026 25.86499552 18.91295873],0.7890071011842146
19,Pauli,1,1,full,['Os'],[38.54],[8.41079532],['Be' 'Sc' 'Ti' 'Co' 'Zn' 'Y' 'Zr' 'Tc' 'Ru' 'Pr' 'Nd' 'Gd' 'Tb' 'Dy' 'Ho' 'Er' 'Tm' 'Lu' 'Re' 'Tl'],[23.48 16.16 24.44 37.64 20.98  8.52 22.18 36.19 40.5   1.65  0.25  5.2   6.17  7.06  7.82  8.45  8.96  9.75 35.35 22.09],[20.50052452 17.37318447 23.37923235 31.07163876 19.71649075  8.20133437 20.32878613 32.90032502 34.03395906 11.03833122  8.47088752  7.51639597  8.37823294  9.77379362 11.21624487 13.83307742 15.61234877 17.50853184 21.98322557 20.48900285],0.8005200720541014
19,Pauli,1,1,circular,['Os'],[38.54],[8.4117475],['Be' 'Sc' 'Ti' 'Co' 'Zn' 'Y' 'Zr' 'Tc' 'Ru' 'Pr' 'Nd' 'Gd' 'Tb' 'Dy' 'Ho' 'Er' 'Tm' 'Lu' 'Re' 'Tl'],[23.48 16.16 24.44 37.64 20.98  8.52 22.18 36.19 40.5   1.65  0.25  5.2   6.17  7.06  7.82  8.45  8.96  9.75 35.35 22.09],[20.4995888  17.37465465 23.37481225 31.07283154 19.71943831  8.20030289 20.32688944 32.89714095 34.03337139 11.039728    8.46942147  7.51478532  8.37792132  9.77436653 11.2171085  13.83312095 15.61150973 17.5062317  21.98377121 20.48065643],0.80052014518518
19,Pauli,1,2,linear,['Os'],[38.54],[15.61898071],['Be' 'Sc' 'Ti' 'Co' 'Zn' 'Y' 'Zr' 'Tc' 'Ru' 'Pr' 'Nd' 'Gd' 'Tb' 'Dy' 'Ho' 'Er' 'Tm' 'Lu' 'Re' 'Tl'],[23.48 16.16 24.44 37.64 20.98  8.52 22.18 36.19 40.5   1.65  0.25  5.2   6.17  7.06  7.82  8.45  8.96  9.75 35.35 22.09],[18.49694958 17.48451129 17.85186022 28.31127827 18.50326791  7.98493521 19.50735004 32.71311291 37.12868695  7.47945412  7.76428981  6.97843155  7.65036325  8.13797266  8.86798538 10.59217014 11.90257293 13.08382876 32.73776625 23.51395717],0.8939495085281586
19,Pauli,1,2,full,['Os'],[38.54],[13.39529513],['Be' 'Sc' 'Ti' 'Co' 'Zn' 'Y' 'Zr' 'Tc' 'Ru' 'Pr' 'Nd' 'Gd' 'Tb' 'Dy' 'Ho' 'Er' 'Tm' 'Lu' 'Re' 'Tl'],[23.48 16.16 24.44 37.64 20.98  8.52 22.18 36.19 40.5   1.65  0.25  5.2   6.17  7.06  7.82  8.45  8.96  9.75 35.35 22.09],[22.99204995 18.21279429 19.57506042 28.85479293 19.50378702  7.74587084 16.92991903 35.0514147  32.12064779  6.19623186  6.76230055  6.24895374  7.60228731  8.9107371   9.38501953 10.38076987 10.65319313 10.59294786 32.94409839 24.70483293],0.9024646753073362
19,Pauli,1,2,circular,['Os'],[38.54],[13.40417399],['Be' 'Sc' 'Ti' 'Co' 'Zn' 'Y' 'Zr' 'Tc' 'Ru' 'Pr' 'Nd' 'Gd' 'Tb' 'Dy' 'Ho' 'Er' 'Tm' 'Lu' 'Re' 'Tl'],[23.48 16.16 24.44 37.64 20.98  8.52 22.18 36.19 40.5   1.65  0.25  5.2   6.17  7.06  7.82  8.45  8.96  9.75 35.35 22.09],[22.94995065 18.19297314 19.59897543 28.84747993 19.47347418  7.75312938 16.97487837 35.06366356 32.15812904  6.23801456  6.7873863   6.25957926  7.61742352  8.93415867  9.41375976 10.42082157 10.69649004 10.63499707 32.95493609 24.68270953],0.9024724314533442
19,Pauli,1,3,linear,['Os'],[38.54],[15.97986318],['Be' 'Sc' 'Ti' 'Co' 'Zn' 'Y' 'Zr' 'Tc' 'Ru' 'Pr' 'Nd' 'Gd' 'Tb' 'Dy' 'Ho' 'Er' 'Tm' 'Lu' 'Re' 'Tl'],[23.48 16.16 24.44 37.64 20.98  8.52 22.18 36.19 40.5   1.65  0.25  5.2   6.17  7.06  7.82  8.45  8.96  9.75 35.35 22.09],[19.70629479 18.07962916 18.5079964  29.09990363 20.26155983  7.31933551 19.51773371 31.71374252 36.2442704   7.79618591  7.80778829  6.47076647  7.06344067  7.51840798  8.40480553 10.30984659 11.90047085 13.33363897 32.99440758 23.61457543],0.900920617001263
19,Pauli,1,3,full,['Os'],[38.54],[16.36208353],['Be' 'Sc' 'Ti' 'Co' 'Zn' 'Y' 'Zr' 'Tc' 'Ru' 'Pr' 'Nd' 'Gd' 'Tb' 'Dy' 'Ho' 'Er' 'Tm' 'Lu' 'Re' 'Tl'],[23.48 16.16 24.44 37.64 20.98  8.52 22.18 36.19 40.5   1.65  0.25  5.2   6.17  7.06  7.82  8.45  8.96  9.75 35.35 22.09],[24.03561507 16.64953544 22.26183661 30.89571672 21.54651074  8.45627016 16.86738369 35.06179111 32.16368652  5.22167139  5.0135831   6.20270323  7.25584365  8.90238645  9.5253947  10.59841839 10.99408005 11.28435972 32.80055593 23.13879493],0.9306475111329532
19,Pauli,1,3,circular,['Os'],[38.54],[14.3992433],['Be' 'Sc' 'Ti' 'Co' 'Zn' 'Y' 'Zr' 'Tc' 'Ru' 'Pr' 'Nd' 'Gd' 'Tb' 'Dy' 'Ho' 'Er' 'Tm' 'Lu' 'Re' 'Tl'],[23.48 16.16 24.44 37.64 20.98  8.52 22.18 36.19 40.5   1.65  0.25  5.2   6.17  7.06  7.82  8.45  8.96  9.75 35.35 22.09],[23.24471949 18.47898096 22.72106305 32.03632635 20.65179095  8.22546628 15.64442359 34.40148771 31.30189639  5.56314262  4.31311153  5.89726309  7.17797075  9.29699201 10.07771476 11.34510918 11.69501325 11.87177581 30.11729176 25.24958944],0.9114403329203599
19,Pauli,1,4,linear,['Os'],[38.54],[20.63811527],['Be' 'Sc' 'Ti' 'Co' 'Zn' 'Y' 'Zr' 'Tc' 'Ru' 'Pr' 'Nd' 'Gd' 'Tb' 'Dy' 'Ho' 'Er' 'Tm' 'Lu' 'Re' 'Tl'],[23.48 16.16 24.44 37.64 20.98  8.52 22.18 36.19 40.5   1.65  0.25  5.2   6.17  7.06  7.82  8.45  8.96  9.75 35.35 22.09],[21.50922683 17.03760214 20.1811826  30.32557861 21.56321694  8.09143213 19.82644589 32.19096594 37.43694949  8.75729972  7.96332814  6.56597834  6.31587863  6.79779171  7.25394621  8.98768867 10.27566822 12.22664188 32.7894952  23.38279466],0.9229343209758979
