fold_id,feature_map_name,feature_map_reps,ansatz_reps,entanglement,element test,actual test,predicted test,element train,actual train,predicted train,R2 train
52,Pauli,1,1,linear,['Er'],[8.45],[11.76906924],['Be' 'Sc' 'Ti' 'Co' 'Zn' 'Y' 'Zr' 'Tc' 'Ru' 'Pr' 'Nd' 'Gd' 'Tb' 'Dy' 'Ho' 'Tm' 'Lu' 'Re' 'Os' 'Tl'],[23.48 16.16 24.44 37.64 20.98  8.52 22.18 36.19 40.5   1.65  0.25  5.2   6.17  7.06  7.82  8.96  9.75 35.35 38.54 22.09],[24.3083429  26.51274167 12.45518687 20.45570143 21.4747203   5.36577525 23.24872945 27.00482632 32.90463156 12.34690408  8.98391633  3.30138821  4.96643935  7.01886846  8.8295876  14.14826655 17.86429263 27.77959907 25.8339707  19.22077605],0.6426168228628575
52,Pauli,1,1,full,['Er'],[8.45],[15.1431602],['Be' 'Sc' 'Ti' 'Co' 'Zn' 'Y' 'Zr' 'Tc' 'Ru' 'Pr' 'Nd' 'Gd' 'Tb' 'Dy' 'Ho' 'Tm' 'Lu' 'Re' 'Os' 'Tl'],[23.48 16.16 24.44 37.64 20.98  8.52 22.18 36.19 40.5   1.65  0.25  5.2   6.17  7.06  7.82  8.96  9.75 35.35 38.54 22.09],[21.38930907 19.83843664 18.86060898 28.78491448 24.63489215 11.68864601 20.90111545 31.26037519 33.91995109 12.94637069 10.8588395  11.21959342 12.30007918 13.3090978  13.80342417 15.66999641 16.26598668 28.05085635 15.58930762 21.7513493 ],0.6250559977445199
52,Pauli,1,1,circular,['Er'],[8.45],[9.57308844],['Be' 'Sc' 'Ti' 'Co' 'Zn' 'Y' 'Zr' 'Tc' 'Ru' 'Pr' 'Nd' 'Gd' 'Tb' 'Dy' 'Ho' 'Tm' 'Lu' 'Re' 'Os' 'Tl'],[23.48 16.16 24.44 37.64 20.98  8.52 22.18 36.19 40.5   1.65  0.25  5.2   6.17  7.06  7.82  8.96  9.75 35.35 38.54 22.09],[24.87404391 17.30636999 32.61218799 25.39149902 14.84315454 10.85300159 11.63807385 24.30294239 26.36862504 11.46685999 11.40623229  8.30651636  7.47307341  8.43323825  9.10943287  9.60040612  9.37950565 27.35852871 16.25060764 29.58939605],0.5392897118632884
52,Pauli,1,2,linear,['Er'],[8.45],[8.51304328],['Be' 'Sc' 'Ti' 'Co' 'Zn' 'Y' 'Zr' 'Tc' 'Ru' 'Pr' 'Nd' 'Gd' 'Tb' 'Dy' 'Ho' 'Tm' 'Lu' 'Re' 'Os' 'Tl'],[23.48 16.16 24.44 37.64 20.98  8.52 22.18 36.19 40.5   1.65  0.25  5.2   6.17  7.06  7.82  8.96  9.75 35.35 38.54 22.09],[20.43161074 18.32256511 15.56017829 24.6963355  20.81194419  8.23163595 20.14512057 33.58762323 33.70386879  7.60757681  5.83984771  6.68556896  5.83682699  6.1792711   6.73700172 10.3676963  13.02555046 26.95780656 22.51378092 21.14142641],0.7857393633790379
52,Pauli,1,2,full,['Er'],[8.45],[11.19266672],['Be' 'Sc' 'Ti' 'Co' 'Zn' 'Y' 'Zr' 'Tc' 'Ru' 'Pr' 'Nd' 'Gd' 'Tb' 'Dy' 'Ho' 'Tm' 'Lu' 'Re' 'Os' 'Tl'],[23.48 16.16 24.44 37.64 20.98  8.52 22.18 36.19 40.5   1.65  0.25  5.2   6.17  7.06  7.82  8.96  9.75 35.35 38.54 22.09],[25.7144329  18.7002071  20.8099073  28.16736126 20.70365798 11.48847096 16.16408801 32.21324991 29.47592785  6.50563694  6.31536971  8.11614044  9.97076451 11.63059429 11.51980868  9.81130161  7.74782003 35.13725528 22.13831623 23.97295236],0.7967376478970123
52,Pauli,1,2,circular,['Er'],[8.45],[11.20358633],['Be' 'Sc' 'Ti' 'Co' 'Zn' 'Y' 'Zr' 'Tc' 'Ru' 'Pr' 'Nd' 'Gd' 'Tb' 'Dy' 'Ho' 'Tm' 'Lu' 'Re' 'Os' 'Tl'],[23.48 16.16 24.44 37.64 20.98  8.52 22.18 36.19 40.5   1.65  0.25  5.2   6.17  7.06  7.82  8.96  9.75 35.35 38.54 22.09],[25.70571418 18.70387924 20.80778257 28.16891091 20.70956288 11.48485024 16.18061547 32.21844773 29.47488606  6.4974829   6.31037319  8.11560541  9.97794128 11.64058083 11.53098637  9.82112981  7.75368665 35.14158953 22.13144207 23.96543269],0.7967379263816734
52,Pauli,1,3,linear,['Er'],[8.45],[9.53623932],['Be' 'Sc' 'Ti' 'Co' 'Zn' 'Y' 'Zr' 'Tc' 'Ru' 'Pr' 'Nd' 'Gd' 'Tb' 'Dy' 'Ho' 'Tm' 'Lu' 'Re' 'Os' 'Tl'],[23.48 16.16 24.44 37.64 20.98  8.52 22.18 36.19 40.5   1.65  0.25  5.2   6.17  7.06  7.82  8.96  9.75 35.35 38.54 22.09],[20.72582329 20.53627788 19.11550185 28.75197254 24.01617612  5.75337884 20.81973705 29.71384017 34.72173387  7.74247399  7.14102352  5.54244708  5.77020552  5.86672842  7.183175   12.24357725 15.28834866 28.10162935 22.15568303 24.66201536],0.799119536808389
52,Pauli,1,3,full,['Er'],[8.45],[12.81618568],['Be' 'Sc' 'Ti' 'Co' 'Zn' 'Y' 'Zr' 'Tc' 'Ru' 'Pr' 'Nd' 'Gd' 'Tb' 'Dy' 'Ho' 'Tm' 'Lu' 'Re' 'Os' 'Tl'],[23.48 16.16 24.44 37.64 20.98  8.52 22.18 36.19 40.5   1.65  0.25  5.2   6.17  7.06  7.82  8.96  9.75 35.35 38.54 22.09],[26.6090405  17.38527119 23.19728606 32.31594071 23.33001579 12.45832881 15.40287102 31.50541339 29.90032651  7.15861984  4.35519595  8.03779628  8.13597967 11.26993739 11.74431296 12.25397118 11.38518851 32.0487023  23.27480015 24.91158554],0.8237367078268727
52,Pauli,1,3,circular,['Er'],[8.45],[11.64406919],['Be' 'Sc' 'Ti' 'Co' 'Zn' 'Y' 'Zr' 'Tc' 'Ru' 'Pr' 'Nd' 'Gd' 'Tb' 'Dy' 'Ho' 'Tm' 'Lu' 'Re' 'Os' 'Tl'],[23.48 16.16 24.44 37.64 20.98  8.52 22.18 36.19 40.5   1.65  0.25  5.2   6.17  7.06  7.82  8.96  9.75 35.35 38.54 22.09],[25.67594135 17.79327762 24.02531719 31.00205469 24.26402056 11.79878606 16.30726023 34.02235641 30.70702364  4.92696733  4.45090505  8.20083815  9.43834949 11.34710585 11.55764697 10.95861329 10.02123078 34.3206807  22.80467857 23.22774883],0.8405668345444555
52,Pauli,1,4,linear,['Er'],[8.45],[10.01019663],['Be' 'Sc' 'Ti' 'Co' 'Zn' 'Y' 'Zr' 'Tc' 'Ru' 'Pr' 'Nd' 'Gd' 'Tb' 'Dy' 'Ho' 'Tm' 'Lu' 'Re' 'Os' 'Tl'],[23.48 16.16 24.44 37.64 20.98  8.52 22.18 36.19 40.5   1.65  0.25  5.2   6.17  7.06  7.82  8.96  9.75 35.35 38.54 22.09],[23.50264208 18.52001837 20.49749239 29.55861291 24.43733596  7.44666027 21.70013973 31.85340378 36.62104814 10.58667077  6.5581155   4.95859321  5.46080426  7.15715853  8.14869555 11.19342969 13.30924552 31.19337492 31.27899659 23.89199152],0.898708747327011
