fold_id,feature_map_name,feature_map_reps,ansatz_reps,entanglement,element test,actual test,predicted test,element train,actual train,predicted train,R2 train
53,Pauli,1,1,linear,['Zn'],[20.98],[20.20546869],['Be' 'Sc' 'Ti' 'Co' 'Y' 'Zr' 'Tc' 'Ru' 'Pr' 'Nd' 'Gd' 'Tb' 'Dy' 'Ho' 'Er' 'Tm' 'Lu' 'Re' 'Os' 'Tl'],[23.48 16.16 24.44 37.64  8.52 22.18 36.19 40.5   1.65  0.25  5.2   6.17  7.06  7.82  8.45  8.96  9.75 35.35 38.54 22.09],[17.43402689 19.99450463 17.36850409 27.19431078  7.06010475 23.78493371 34.95520703 36.96395064 10.14527797  8.1516654   7.0318087   6.87197236  8.04900399  9.68066626 13.18129152 16.50128348 20.66631892 21.11091607 21.44051644 21.69213541],0.695087455485744
53,Pauli,1,1,full,['Zn'],[20.98],[25.35822625],['Be' 'Sc' 'Ti' 'Co' 'Y' 'Zr' 'Tc' 'Ru' 'Pr' 'Nd' 'Gd' 'Tb' 'Dy' 'Ho' 'Er' 'Tm' 'Lu' 'Re' 'Os' 'Tl'],[23.48 16.16 24.44 37.64  8.52 22.18 36.19 40.5   1.65  0.25  5.2   6.17  7.06  7.82  8.45  8.96  9.75 35.35 38.54 22.09],[21.97070102 19.89278944 18.99364658 28.11741005 11.74563425 20.27368937 30.91215766 34.0108607  13.38500357 11.06535421 11.2833282  12.28357112 13.2682949  13.73208418 15.01583393 15.48393716 15.98396823 28.23915617 16.04230933 21.82372212],0.6267928035782877
53,Pauli,1,1,circular,['Zn'],[20.98],[25.3694002],['Be' 'Sc' 'Ti' 'Co' 'Y' 'Zr' 'Tc' 'Ru' 'Pr' 'Nd' 'Gd' 'Tb' 'Dy' 'Ho' 'Er' 'Tm' 'Lu' 'Re' 'Os' 'Tl'],[23.48 16.16 24.44 37.64  8.52 22.18 36.19 40.5   1.65  0.25  5.2   6.17  7.06  7.82  8.45  8.96  9.75 35.35 38.54 22.09],[21.97725405 19.89331816 18.99331631 28.10684843 11.74984188 20.26823523 30.90704013 34.01344357 13.39011636 11.07011383 11.28770928 12.28626629 13.27007846 13.73280023 15.01533903 15.48228592 15.98077303 28.24565565 16.0519797  21.82792279],0.6267928103528725
53,Pauli,1,2,linear,['Zn'],[20.98],[20.74706283],['Be' 'Sc' 'Ti' 'Co' 'Y' 'Zr' 'Tc' 'Ru' 'Pr' 'Nd' 'Gd' 'Tb' 'Dy' 'Ho' 'Er' 'Tm' 'Lu' 'Re' 'Os' 'Tl'],[23.48 16.16 24.44 37.64  8.52 22.18 36.19 40.5   1.65  0.25  5.2   6.17  7.06  7.82  8.45  8.96  9.75 35.35 38.54 22.09],[20.22370393 18.366181   15.60948581 24.75432159  8.240961   20.16925523 33.55272216 33.62717938  7.50350428  5.83083286  6.72080978  5.84838107  6.15165921  6.69730331  8.45822952 10.31576001 12.96110252 27.01198604 22.43469419 21.32668239],0.7913287162661506
53,Pauli,1,2,full,['Zn'],[20.98],[20.50078633],['Be' 'Sc' 'Ti' 'Co' 'Y' 'Zr' 'Tc' 'Ru' 'Pr' 'Nd' 'Gd' 'Tb' 'Dy' 'Ho' 'Er' 'Tm' 'Lu' 'Re' 'Os' 'Tl'],[23.48 16.16 24.44 37.64  8.52 22.18 36.19 40.5   1.65  0.25  5.2   6.17  7.06  7.82  8.45  8.96  9.75 35.35 38.54 22.09],[25.72793324 18.69333398 20.84559213 27.97217944 11.51404893 15.8759693  32.16435877 29.56803163  6.2977237   6.205381    8.11854996  9.75208733 11.32947067 11.14917055 10.76829014  9.37917472  7.42347482 34.84318442 22.03817953 24.26830704],0.8002173279004609
53,Pauli,1,2,circular,['Zn'],[20.98],[20.51003837],['Be' 'Sc' 'Ti' 'Co' 'Y' 'Zr' 'Tc' 'Ru' 'Pr' 'Nd' 'Gd' 'Tb' 'Dy' 'Ho' 'Er' 'Tm' 'Lu' 'Re' 'Os' 'Tl'],[23.48 16.16 24.44 37.64  8.52 22.18 36.19 40.5   1.65  0.25  5.2   6.17  7.06  7.82  8.45  8.96  9.75 35.35 38.54 22.09],[25.72803008 18.69452168 20.84267152 27.97742998 11.51231856 15.88168115 32.16105586 29.56447821  6.29785655  6.20452857  8.11699829  9.75636976 11.33572918 11.15665329 10.77534989  9.38521236  7.4254498  34.8493793  22.03997313 24.26127948],0.8002182689609707
53,Pauli,1,3,linear,['Zn'],[20.98],[26.09113685],['Be' 'Sc' 'Ti' 'Co' 'Y' 'Zr' 'Tc' 'Ru' 'Pr' 'Nd' 'Gd' 'Tb' 'Dy' 'Ho' 'Er' 'Tm' 'Lu' 'Re' 'Os' 'Tl'],[23.48 16.16 24.44 37.64  8.52 22.18 36.19 40.5   1.65  0.25  5.2   6.17  7.06  7.82  8.45  8.96  9.75 35.35 38.54 22.09],[22.78269668 20.63293541 19.23098953 28.62237068  6.04572199 20.32030045 28.77165653 34.36563953  7.52508896  7.36840613  5.88983797  6.04399039  5.92465306  7.13176145  9.40221566 12.15134905 15.50829291 27.3469326  23.23126842 24.99499035],0.8083871394595554
53,Pauli,1,3,full,['Zn'],[20.98],[26.45110427],['Be' 'Sc' 'Ti' 'Co' 'Y' 'Zr' 'Tc' 'Ru' 'Pr' 'Nd' 'Gd' 'Tb' 'Dy' 'Ho' 'Er' 'Tm' 'Lu' 'Re' 'Os' 'Tl'],[23.48 16.16 24.44 37.64  8.52 22.18 36.19 40.5   1.65  0.25  5.2   6.17  7.06  7.82  8.45  8.96  9.75 35.35 38.54 22.09],[26.53452484 17.8710436  23.53597472 31.29002818 12.09085141 15.97785027 33.28982306 30.77092204  4.62419923  4.38083255  8.53565602  9.50308301 11.19817671 11.28047305 11.25439338 10.59403747  9.75507733 33.8532294  23.23082762 23.37097913],0.8473012182291637
53,Pauli,1,3,circular,['Zn'],[20.98],[22.48755073],['Be' 'Sc' 'Ti' 'Co' 'Y' 'Zr' 'Tc' 'Ru' 'Pr' 'Nd' 'Gd' 'Tb' 'Dy' 'Ho' 'Er' 'Tm' 'Lu' 'Re' 'Os' 'Tl'],[23.48 16.16 24.44 37.64  8.52 22.18 36.19 40.5   1.65  0.25  5.2   6.17  7.06  7.82  8.45  8.96  9.75 35.35 38.54 22.09],[25.19342316 18.32016875 22.75377502 31.07194826 13.38174447 15.43338146 31.82294368 30.42510169  4.89020485  3.45081804  8.70174071  8.28036826 11.21478505 11.38268544 12.01569978 11.24555203 10.37505788 32.12853866 23.26270105 26.57464554],0.8303551893709691
53,Pauli,1,4,linear,['Zn'],[20.98],[26.43355714],['Be' 'Sc' 'Ti' 'Co' 'Y' 'Zr' 'Tc' 'Ru' 'Pr' 'Nd' 'Gd' 'Tb' 'Dy' 'Ho' 'Er' 'Tm' 'Lu' 'Re' 'Os' 'Tl'],[23.48 16.16 24.44 37.64  8.52 22.18 36.19 40.5   1.65  0.25  5.2   6.17  7.06  7.82  8.45  8.96  9.75 35.35 38.54 22.09],[24.72885686 18.85852117 20.26368391 30.55194106  7.05628385 21.88115332 31.87038483 36.69601661 10.77148914  7.22579376  4.9736375   5.85522406  7.24312195  8.2152675   9.90298494 11.03690168 13.08337269 31.13490925 31.57469837 24.05130647],0.9050830669109303
