fold_id,feature_map_name,feature_map_reps,ansatz_reps,entanglement,element test,actual test,predicted test,element train,actual train,predicted train,R2 train
35,Pauli,1,1,linear,['Er'],[8.45],[13.99803837],['Be' 'Sc' 'Ti' 'Co' 'Zn' 'Y' 'Zr' 'Tc' 'Ru' 'Pr' 'Nd' 'Gd' 'Tb' 'Dy' 'Ho' 'Tm' 'Lu' 'Re' 'Os' 'Tl'],[23.48 16.16 24.44 37.64 20.98  8.52 22.18 36.19 40.5   1.65  0.25  5.2   6.17  7.06  7.82  8.96  9.75 35.35 38.54 22.09],[17.88833768 19.61245058 17.09746705 26.73481101 20.48805783  7.05409639 23.48556645 34.82888583 37.10916372  9.33743748  7.65186878  6.99862623  7.49560091  8.84281987 10.56283521 17.1425659  20.88328194 22.11847062 20.89688415 21.98472411],0.6944318956515898
35,Pauli,1,1,full,['Er'],[8.45],[15.1475661],['Be' 'Sc' 'Ti' 'Co' 'Zn' 'Y' 'Zr' 'Tc' 'Ru' 'Pr' 'Nd' 'Gd' 'Tb' 'Dy' 'Ho' 'Tm' 'Lu' 'Re' 'Os' 'Tl'],[23.48 16.16 24.44 37.64 20.98  8.52 22.18 36.19 40.5   1.65  0.25  5.2   6.17  7.06  7.82  8.96  9.75 35.35 38.54 22.09],[21.39683845 19.8389001  18.85267735 28.77868411 24.63867715 11.6818645  20.90813047 31.25249762 33.91110806 12.94328997 10.85092416 11.21183429 12.29682808 13.30889538 13.80568355 15.67548333 16.27169201 28.04987718 15.59245337 21.75476459],0.6250555666824711
35,Pauli,1,1,circular,['Er'],[8.45],[15.14381246],['Be' 'Sc' 'Ti' 'Co' 'Zn' 'Y' 'Zr' 'Tc' 'Ru' 'Pr' 'Nd' 'Gd' 'Tb' 'Dy' 'Ho' 'Tm' 'Lu' 'Re' 'Os' 'Tl'],[23.48 16.16 24.44 37.64 20.98  8.52 22.18 36.19 40.5   1.65  0.25  5.2   6.17  7.06  7.82  8.96  9.75 35.35 38.54 22.09],[21.38925289 19.84283478 18.85598246 28.78411681 24.63904594 11.69790646 20.89999452 31.25644906 33.92145411 12.9484419  10.86400711 11.22852477 12.30874891 13.31603615 13.80767054 15.66754177 16.26116734 28.05516207 15.60140482 21.75569556],0.6250557674603472
35,Pauli,1,2,linear,['Er'],[8.45],[8.43694025],['Be' 'Sc' 'Ti' 'Co' 'Zn' 'Y' 'Zr' 'Tc' 'Ru' 'Pr' 'Nd' 'Gd' 'Tb' 'Dy' 'Ho' 'Tm' 'Lu' 'Re' 'Os' 'Tl'],[23.48 16.16 24.44 37.64 20.98  8.52 22.18 36.19 40.5   1.65  0.25  5.2   6.17  7.06  7.82  8.96  9.75 35.35 38.54 22.09],[20.29828266 18.38333667 15.58092178 24.76524588 20.80901849  8.24377154 20.16480917 33.56147341 33.63952797  7.53005137  5.85292292  6.72156665  5.8417554   6.13998477  6.67967859 10.29236836 12.9462966  26.96698419 22.46327457 21.27316149],0.7857607182197007
35,Pauli,1,2,full,['Er'],[8.45],[11.20417376],['Be' 'Sc' 'Ti' 'Co' 'Zn' 'Y' 'Zr' 'Tc' 'Ru' 'Pr' 'Nd' 'Gd' 'Tb' 'Dy' 'Ho' 'Tm' 'Lu' 'Re' 'Os' 'Tl'],[23.48 16.16 24.44 37.64 20.98  8.52 22.18 36.19 40.5   1.65  0.25  5.2   6.17  7.06  7.82  8.96  9.75 35.35 38.54 22.09],[25.70551769 18.70220426 20.80301159 28.15418941 20.70495478 11.49618972 16.18551546 32.2088452  29.4693464   6.49430629  6.30682817  8.12043134  9.97687748 11.64093585 11.53164469  9.82152876  7.75405423 35.14856875 22.14626094 23.97080288],0.7967382439571091
35,Pauli,1,2,circular,['Er'],[8.45],[11.20279592],['Be' 'Sc' 'Ti' 'Co' 'Zn' 'Y' 'Zr' 'Tc' 'Ru' 'Pr' 'Nd' 'Gd' 'Tb' 'Dy' 'Ho' 'Tm' 'Lu' 'Re' 'Os' 'Tl'],[23.48 16.16 24.44 37.64 20.98  8.52 22.18 36.19 40.5   1.65  0.25  5.2   6.17  7.06  7.82  8.96  9.75 35.35 38.54 22.09],[25.70934771 18.70241907 20.7989768  28.16345168 20.71274197 11.49517723 16.17792215 32.20273433 29.47538145  6.5044779   6.31360459  8.11990816  9.97780389 11.64102971 11.53141104  9.81945957  7.75037306 35.14789156 22.1474254  23.96400076],0.7967382642189865
35,Pauli,1,3,linear,['Er'],[8.45],[9.52876713],['Be' 'Sc' 'Ti' 'Co' 'Zn' 'Y' 'Zr' 'Tc' 'Ru' 'Pr' 'Nd' 'Gd' 'Tb' 'Dy' 'Ho' 'Tm' 'Lu' 'Re' 'Os' 'Tl'],[23.48 16.16 24.44 37.64 20.98  8.52 22.18 36.19 40.5   1.65  0.25  5.2   6.17  7.06  7.82  8.96  9.75 35.35 38.54 22.09],[20.73404242 20.54189557 19.10674112 28.75374004 24.01512484  5.74812093 20.82097755 29.72695457 34.71585321  7.74096372  7.1395225   5.53675643  5.76372531  5.8598698   7.17540062 12.2359131  15.28246361 28.09771261 22.14915797 24.64280974],0.7991109972374341
35,Pauli,1,3,full,['Er'],[8.45],[12.82820423],['Be' 'Sc' 'Ti' 'Co' 'Zn' 'Y' 'Zr' 'Tc' 'Ru' 'Pr' 'Nd' 'Gd' 'Tb' 'Dy' 'Ho' 'Tm' 'Lu' 'Re' 'Os' 'Tl'],[23.48 16.16 24.44 37.64 20.98  8.52 22.18 36.19 40.5   1.65  0.25  5.2   6.17  7.06  7.82  8.96  9.75 35.35 38.54 22.09],[26.59775922 17.38714554 23.22827375 32.34062221 23.33779862 12.4975244  15.38971132 31.49834992 29.90676539  7.13447577  4.31383525  8.05779635  8.1214661  11.2718111  11.74985623 12.27117761 11.41262096 32.02669494 23.27551078 24.92612063],0.8237441650076143
35,Pauli,1,3,circular,['Er'],[8.45],[12.67023908],['Be' 'Sc' 'Ti' 'Co' 'Zn' 'Y' 'Zr' 'Tc' 'Ru' 'Pr' 'Nd' 'Gd' 'Tb' 'Dy' 'Ho' 'Tm' 'Lu' 'Re' 'Os' 'Tl'],[23.48 16.16 24.44 37.64 20.98  8.52 22.18 36.19 40.5   1.65  0.25  5.2   6.17  7.06  7.82  8.96  9.75 35.35 38.54 22.09],[25.44691801 17.78313053 22.4507883  31.14773523 21.81459486 13.2719919  16.0836202  32.29328149 30.35365553  5.4994972   3.64317264  8.53174148  8.31667449 11.49715457 11.81996438 11.9600697  11.00546857 31.95123191 23.30608716 26.09567024],0.829884930649532
35,Pauli,1,4,linear,['Er'],[8.45],[9.98958391],['Be' 'Sc' 'Ti' 'Co' 'Zn' 'Y' 'Zr' 'Tc' 'Ru' 'Pr' 'Nd' 'Gd' 'Tb' 'Dy' 'Ho' 'Tm' 'Lu' 'Re' 'Os' 'Tl'],[23.48 16.16 24.44 37.64 20.98  8.52 22.18 36.19 40.5   1.65  0.25  5.2   6.17  7.06  7.82  8.96  9.75 35.35 38.54 22.09],[23.89697099 18.28979561 20.5706151  29.92937608 24.22634565  7.68281485 21.6189414  31.86209228 36.51027598 10.56078628  6.55953666  5.07515524  5.31640998  7.06161862  8.03691826 11.24764159 13.48784014 30.81044914 31.0643611  23.95053845],0.8988107015450777
