fold_id,feature_map_name,feature_map_reps,ansatz_reps,entanglement,element test,actual test,predicted test,element train,actual train,predicted train,R2 train
5,Pauli,1,1,linear,['Y'],[8.52],[4.77100381],['Be' 'Sc' 'Ti' 'Co' 'Zn' 'Zr' 'Tc' 'Ru' 'Pr' 'Nd' 'Gd' 'Tb' 'Dy' 'Ho' 'Er' 'Tm' 'Lu' 'Re' 'Os' 'Tl'],[23.48 16.16 24.44 37.64 20.98 22.18 36.19 40.5   1.65  0.25  5.2   6.17  7.06  7.82  8.45  8.96  9.75 35.35 38.54 22.09],[24.74921958 26.80275587 12.32639038 20.29557812 21.70343885 23.26399223 26.66658936 32.84064045 12.11042567  8.66349979  2.69470433  4.32308515  6.33680762  8.17391699 11.18359851 13.67543086 17.59122886 27.90631272 26.07314994 19.27834926],0.6435707285392518
5,Pauli,1,1,full,['Y'],[8.52],[12.16664772],['Be' 'Sc' 'Ti' 'Co' 'Zn' 'Zr' 'Tc' 'Ru' 'Pr' 'Nd' 'Gd' 'Tb' 'Dy' 'Ho' 'Er' 'Tm' 'Lu' 'Re' 'Os' 'Tl'],[23.48 16.16 24.44 37.64 20.98 22.18 36.19 40.5   1.65  0.25  5.2   6.17  7.06  7.82  8.45  8.96  9.75 35.35 38.54 22.09],[21.23316323 19.92560047 18.75809609 28.83980377 24.68421671 20.62694156 31.28662502 34.29773307 13.11932014 11.23660063 11.70024833 12.63266264 13.50931988 13.85231922 15.01682712 15.41493225 15.92462958 28.19629282 15.89434792 21.69133526],0.6156934972707095
5,Pauli,1,1,circular,['Y'],[8.52],[12.16113526],['Be' 'Sc' 'Ti' 'Co' 'Zn' 'Zr' 'Tc' 'Ru' 'Pr' 'Nd' 'Gd' 'Tb' 'Dy' 'Ho' 'Er' 'Tm' 'Lu' 'Re' 'Os' 'Tl'],[23.48 16.16 24.44 37.64 20.98 22.18 36.19 40.5   1.65  0.25  5.2   6.17  7.06  7.82  8.45  8.96  9.75 35.35 38.54 22.09],[21.24426067 19.93268613 18.77322014 28.83894063 24.69069534 20.61387498 31.28264121 34.28752052 13.12513181 11.2333512  11.69469227 12.63108105 13.50885431 13.85260553 15.01636677 15.41310287 15.92113815 28.18777924 15.89687596 21.69750361],0.6156939679110253
5,Pauli,1,2,linear,['Y'],[8.52],[8.17758861],['Be' 'Sc' 'Ti' 'Co' 'Zn' 'Zr' 'Tc' 'Ru' 'Pr' 'Nd' 'Gd' 'Tb' 'Dy' 'Ho' 'Er' 'Tm' 'Lu' 'Re' 'Os' 'Tl'],[23.48 16.16 24.44 37.64 20.98 22.18 36.19 40.5   1.65  0.25  5.2   6.17  7.06  7.82  8.45  8.96  9.75 35.35 38.54 22.09],[20.26109908 18.38365004 15.58478519 24.78866377 20.78156056 20.17654075 33.56672576 33.67648295  7.5408874   5.84190524  6.665506    5.79692425  6.10710151  6.66611402  8.44594599 10.32273351 12.99018239 26.96897768 22.43933541 21.32172803],0.7858774791562704
5,Pauli,1,2,full,['Y'],[8.52],[12.10483771],['Be' 'Sc' 'Ti' 'Co' 'Zn' 'Zr' 'Tc' 'Ru' 'Pr' 'Nd' 'Gd' 'Tb' 'Dy' 'Ho' 'Er' 'Tm' 'Lu' 'Re' 'Os' 'Tl'],[23.48 16.16 24.44 37.64 20.98 22.18 36.19 40.5   1.65  0.25  5.2   6.17  7.06  7.82  8.45  8.96  9.75 35.35 38.54 22.09],[25.68270214 18.88640066 20.80131827 27.81697882 20.64818608 15.85534334 31.96527776 29.47846338  6.15360917  6.15928747  8.58717839 10.15573368 11.68727889 11.37096393 10.77858018  9.20093022  7.12025888 34.60130419 22.65518817 24.19459739],0.7980749716601551
5,Pauli,1,2,circular,['Y'],[8.52],[12.08524452],['Be' 'Sc' 'Ti' 'Co' 'Zn' 'Zr' 'Tc' 'Ru' 'Pr' 'Nd' 'Gd' 'Tb' 'Dy' 'Ho' 'Er' 'Tm' 'Lu' 'Re' 'Os' 'Tl'],[23.48 16.16 24.44 37.64 20.98 22.18 36.19 40.5   1.65  0.25  5.2   6.17  7.06  7.82  8.45  8.96  9.75 35.35 38.54 22.09],[25.67449597 18.8788863  20.80465806 27.83363311 20.64505356 15.84145436 31.94715208 29.48407008  6.15810356  6.16093765  8.57033682 10.1352321  11.6650934  11.35097566 10.76242604  9.19003793  7.11687371 34.60212923 22.63079183 24.21249345],0.7980737151615502
5,Pauli,1,3,linear,['Y'],[8.52],[5.28549019],['Be' 'Sc' 'Ti' 'Co' 'Zn' 'Zr' 'Tc' 'Ru' 'Pr' 'Nd' 'Gd' 'Tb' 'Dy' 'Ho' 'Er' 'Tm' 'Lu' 'Re' 'Os' 'Tl'],[23.48 16.16 24.44 37.64 20.98 22.18 36.19 40.5   1.65  0.25  5.2   6.17  7.06  7.82  8.45  8.96  9.75 35.35 38.54 22.09],[20.77658504 20.48667691 19.01836598 28.68280292 23.89136591 20.74789088 29.77603586 34.76418469  7.85322137  6.95084995  5.06259501  5.3044374   5.4941659   6.92366152  9.41195018 12.24952424 15.41021999 27.91793669 22.34526428 24.74757253],0.8015306074089892
5,Pauli,1,3,full,['Y'],[8.52],[12.54766705],['Be' 'Sc' 'Ti' 'Co' 'Zn' 'Zr' 'Tc' 'Ru' 'Pr' 'Nd' 'Gd' 'Tb' 'Dy' 'Ho' 'Er' 'Tm' 'Lu' 'Re' 'Os' 'Tl'],[23.48 16.16 24.44 37.64 20.98 22.18 36.19 40.5   1.65  0.25  5.2   6.17  7.06  7.82  8.45  8.96  9.75 35.35 38.54 22.09],[25.68364937 17.8784357  23.98077766 30.50788555 24.32131259 15.87655229 33.8011426  30.57719091  4.48885231  4.3627906   8.81828361  9.59786982 11.29554669 11.23551216 11.07533106 10.25340058  9.49077716 33.98596362 23.28459369 23.26431319],0.8420483478860353
5,Pauli,1,3,circular,['Y'],[8.52],[14.55289568],['Be' 'Sc' 'Ti' 'Co' 'Zn' 'Zr' 'Tc' 'Ru' 'Pr' 'Nd' 'Gd' 'Tb' 'Dy' 'Ho' 'Er' 'Tm' 'Lu' 'Re' 'Os' 'Tl'],[23.48 16.16 24.44 37.64 20.98 22.18 36.19 40.5   1.65  0.25  5.2   6.17  7.06  7.82  8.45  8.96  9.75 35.35 38.54 22.09],[24.45225507 18.52634593 23.28986031 30.86608228 22.32808375 15.36617683 31.62123442 30.54124715  4.75739435  3.21690096  9.56515136  8.58824474 11.56419613 11.60411957 12.14470762 11.28873899 10.54927257 31.37693011 24.03957209 26.56114903],0.8338878422512507
5,Pauli,1,4,linear,['Y'],[8.52],[7.2817874],['Be' 'Sc' 'Ti' 'Co' 'Zn' 'Zr' 'Tc' 'Ru' 'Pr' 'Nd' 'Gd' 'Tb' 'Dy' 'Ho' 'Er' 'Tm' 'Lu' 'Re' 'Os' 'Tl'],[23.48 16.16 24.44 37.64 20.98 22.18 36.19 40.5   1.65  0.25  5.2   6.17  7.06  7.82  8.45  8.96  9.75 35.35 38.54 22.09],[24.02573204 18.23935215 20.56283094 30.01288569 24.2483568  21.59188169 31.83257906 36.53341282 10.48949824  6.6468222   4.86545803  5.06015428  6.64606266  7.62846169  9.60112818 10.95399933 13.31675126 30.69682481 30.95337527 24.04000375],0.898642647136598
