fold_id,entanglement,feature_map_reps,ansatz_reps,element test,actual test,predicted test,element train,actual train,predicted train,final_train_loss,final_test_loss,gpu_mem_allocated,gpu_mem_max_allocated
3,linear,3,2,['Sc'],[1],[1],['Be' 'Ti' 'Co' 'Zn' 'Y' 'Zr' 'Ru' 'Pr' 'Nd' 'Gd' 'Tb' 'Dy' 'Ho' 'Er' 'Tm' 'Lu' 'Re' 'Os' 'Tl' 'Tc'],[0 1 1 1 0 1 0 1 1 1 0 0 1 0 0 1 0 1 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0],0.7767868638038635,0.5291492938995361,,
3,linear,3,3,['Sc'],[1],[1],['Be' 'Ti' 'Co' 'Zn' 'Y' 'Zr' 'Ru' 'Pr' 'Nd' 'Gd' 'Tb' 'Dy' 'Ho' 'Er' 'Tm' 'Lu' 'Re' 'Os' 'Tl' 'Tc'],[0 1 1 1 0 0 0 0 0 1 0 1 0 1 1 0 1 0 1 1],[0 0 1 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 1 0],0.5842673778533936,0.6293662190437317,,
3,linear,3,4,['Sc'],[1],[1],['Be' 'Ti' 'Co' 'Zn' 'Y' 'Zr' 'Ru' 'Pr' 'Nd' 'Gd' 'Tb' 'Dy' 'Ho' 'Er' 'Tm' 'Lu' 'Re' 'Os' 'Tl' 'Tc'],[0 0 1 0 0 0 0 1 1 0 0 1 0 1 1 1 1 0 1 1],[1 0 0 1 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0],0.7438610792160034,0.5263763070106506,,
3,linear,3,5,['Sc'],[1],[0],['Be' 'Ti' 'Co' 'Zn' 'Y' 'Zr' 'Ru' 'Pr' 'Nd' 'Gd' 'Tb' 'Dy' 'Ho' 'Er' 'Tm' 'Lu' 'Re' 'Os' 'Tl' 'Tc'],[0 0 0 0 1 1 0 0 0 0 0 1 1 1 1 1 1 1 1 0],[1 1 0 1 0 1 0 0 1 0 0 1 1 1 1 1 1 0 1 1],0.6122182607650757,0.7183153629302979,,
3,linear,3,6,['Sc'],[1],[1],['Be' 'Ti' 'Co' 'Zn' 'Y' 'Zr' 'Ru' 'Pr' 'Nd' 'Gd' 'Tb' 'Dy' 'Ho' 'Er' 'Tm' 'Lu' 'Re' 'Os' 'Tl' 'Tc'],[1 1 1 0 0 1 0 0 1 1 1 0 0 0 1 0 0 1 0 1],[1 0 1 1 0 1 0 0 1 1 0 0 1 1 1 0 0 1 0 0],0.6849163770675659,0.443865954875946,,
3,linear,4,1,['Sc'],[1],[0],['Be' 'Ti' 'Co' 'Zn' 'Y' 'Zr' 'Ru' 'Pr' 'Nd' 'Gd' 'Tb' 'Dy' 'Ho' 'Er' 'Tm' 'Lu' 'Re' 'Os' 'Tl' 'Tc'],[1 0 1 0 1 0 1 1 1 1 0 0 0 0 0 0 0 1 1 1],[1 0 1 0 0 0 1 0 0 0 1 1 1 0 1 0 1 1 1 0],0.6695330142974854,0.7645347118377686,,
3,linear,4,2,['Sc'],[1],[1],['Be' 'Ti' 'Co' 'Zn' 'Y' 'Zr' 'Ru' 'Pr' 'Nd' 'Gd' 'Tb' 'Dy' 'Ho' 'Er' 'Tm' 'Lu' 'Re' 'Os' 'Tl' 'Tc'],[1 0 0 1 0 1 1 1 0 0 1 0 1 0 1 0 1 0 0 1],[0 0 1 0 0 1 0 0 0 0 0 0 1 0 1 1 0 0 0 1],0.6599907875061035,0.5267778635025024,,
3,linear,4,3,['Sc'],[1],[1],['Be' 'Ti' 'Co' 'Zn' 'Y' 'Zr' 'Ru' 'Pr' 'Nd' 'Gd' 'Tb' 'Dy' 'Ho' 'Er' 'Tm' 'Lu' 'Re' 'Os' 'Tl' 'Tc'],[0 1 0 1 1 1 0 0 1 0 0 0 0 1 1 0 1 0 1 1],[0 1 0 0 1 1 0 0 1 0 0 0 0 1 1 0 1 0 1 1],0.5587421655654907,0.6057825088500977,,
3,linear,4,4,['Sc'],[1],[0],['Be' 'Ti' 'Co' 'Zn' 'Y' 'Zr' 'Ru' 'Pr' 'Nd' 'Gd' 'Tb' 'Dy' 'Ho' 'Er' 'Tm' 'Lu' 'Re' 'Os' 'Tl' 'Tc'],[0 0 1 0 1 1 0 0 1 1 1 0 0 1 0 1 1 1 0 0],[0 0 1 1 1 1 1 0 1 1 1 1 0 1 0 0 1 1 1 1],0.6170525550842285,0.7453280687332153,,
3,linear,4,5,['Sc'],[1],[0],['Be' 'Ti' 'Co' 'Zn' 'Y' 'Zr' 'Ru' 'Pr' 'Nd' 'Gd' 'Tb' 'Dy' 'Ho' 'Er' 'Tm' 'Lu' 'Re' 'Os' 'Tl' 'Tc'],[1 1 0 0 0 1 0 0 1 0 0 1 0 1 1 0 1 0 1 1],[1 1 1 1 0 0 1 0 1 0 1 1 0 1 1 0 1 1 1 1],0.6162773370742798,0.7017285823822021,,
3,linear,4,6,['Sc'],[1],[1],['Be' 'Ti' 'Co' 'Zn' 'Y' 'Zr' 'Ru' 'Pr' 'Nd' 'Gd' 'Tb' 'Dy' 'Ho' 'Er' 'Tm' 'Lu' 'Re' 'Os' 'Tl' 'Tc'],[0 0 1 1 1 0 0 1 0 0 0 0 1 0 1 1 1 0 1 1],[0 0 1 1 1 0 0 1 0 0 0 0 1 1 0 1 0 1 1 0],0.6043172478675842,0.4626439809799194,,
3,linear,5,1,['Sc'],[1],[0],['Be' 'Ti' 'Co' 'Zn' 'Y' 'Zr' 'Ru' 'Pr' 'Nd' 'Gd' 'Tb' 'Dy' 'Ho' 'Er' 'Tm' 'Lu' 'Re' 'Os' 'Tl' 'Tc'],[1 0 0 0 1 0 1 0 0 1 1 1 1 1 0 0 0 1 1 0],[1 1 1 0 0 1 1 0 0 1 1 1 1 1 1 1 0 1 0 1],0.6461250185966492,0.8278899192810059,,
3,linear,5,2,['Sc'],[1],[0],['Be' 'Ti' 'Co' 'Zn' 'Y' 'Zr' 'Ru' 'Pr' 'Nd' 'Gd' 'Tb' 'Dy' 'Ho' 'Er' 'Tm' 'Lu' 'Re' 'Os' 'Tl' 'Tc'],[1 0 1 0 1 0 0 1 1 0 0 0 1 0 0 1 1 0 1 1],[1 0 0 0 1 0 1 1 1 0 0 0 1 1 1 1 1 1 1 1],0.6211288571357727,0.7517585754394531,,
3,linear,5,3,['Sc'],[1],[1],['Be' 'Ti' 'Co' 'Zn' 'Y' 'Zr' 'Ru' 'Pr' 'Nd' 'Gd' 'Tb' 'Dy' 'Ho' 'Er' 'Tm' 'Lu' 'Re' 'Os' 'Tl' 'Tc'],[0 1 1 1 0 1 0 0 1 0 0 0 0 1 1 1 0 1 0 1],[1 1 1 1 1 1 0 0 1 0 1 0 1 1 1 1 0 1 1 0],0.6310743093490601,0.6128688454627991,,
3,linear,5,4,['Sc'],[1],[0],['Be' 'Ti' 'Co' 'Zn' 'Y' 'Zr' 'Ru' 'Pr' 'Nd' 'Gd' 'Tb' 'Dy' 'Ho' 'Er' 'Tm' 'Lu' 'Re' 'Os' 'Tl' 'Tc'],[1 1 1 0 1 1 0 0 0 1 0 0 1 0 0 0 1 1 0 1],[1 1 1 1 1 0 0 1 1 1 1 0 1 0 0 1 1 1 0 1],0.613951563835144,1.0070488452911377,,
3,linear,5,5,['Sc'],[1],[0],['Be' 'Ti' 'Co' 'Zn' 'Y' 'Zr' 'Ru' 'Pr' 'Nd' 'Gd' 'Tb' 'Dy' 'Ho' 'Er' 'Tm' 'Lu' 'Re' 'Os' 'Tl' 'Tc'],[0 1 1 0 0 0 1 0 0 1 0 0 1 1 1 1 0 1 0 1],[1 1 1 1 0 0 1 1 0 1 1 1 1 1 1 1 0 1 1 1],0.6183003783226013,0.8210978507995605,,
3,linear,5,6,['Sc'],[1],[0],['Be' 'Ti' 'Co' 'Zn' 'Y' 'Zr' 'Ru' 'Pr' 'Nd' 'Gd' 'Tb' 'Dy' 'Ho' 'Er' 'Tm' 'Lu' 'Re' 'Os' 'Tl' 'Tc'],[0 1 1 0 0 1 0 1 0 1 0 0 0 1 0 0 1 1 1 1],[0 1 1 0 1 1 1 1 0 1 0 1 0 1 0 1 1 1 1 1],0.5960928201675415,0.8417408466339111,,
3,linear,6,1,['Sc'],[1],[1],['Be' 'Ti' 'Co' 'Zn' 'Y' 'Zr' 'Ru' 'Pr' 'Nd' 'Gd' 'Tb' 'Dy' 'Ho' 'Er' 'Tm' 'Lu' 'Re' 'Os' 'Tl' 'Tc'],[1 0 1 1 1 0 1 0 0 0 0 0 1 0 1 1 0 1 1 0],[0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 1 0 0],0.6969141364097595,0.5758652687072754,,
3,linear,6,2,['Sc'],[1],[1],['Be' 'Ti' 'Co' 'Zn' 'Y' 'Zr' 'Ru' 'Pr' 'Nd' 'Gd' 'Tb' 'Dy' 'Ho' 'Er' 'Tm' 'Lu' 'Re' 'Os' 'Tl' 'Tc'],[1 0 0 0 0 0 1 1 0 1 0 1 1 1 0 1 0 1 1 0],[1 0 1 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0],0.7412540912628174,0.5895209908485413,,
3,linear,6,3,['Sc'],[1],[0],['Be' 'Ti' 'Co' 'Zn' 'Y' 'Zr' 'Ru' 'Pr' 'Nd' 'Gd' 'Tb' 'Dy' 'Ho' 'Er' 'Tm' 'Lu' 'Re' 'Os' 'Tl' 'Tc'],[1 1 1 1 0 0 1 1 0 0 1 1 1 0 0 0 0 0 1 0],[0 0 0 1 1 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0],0.6657885313034058,0.8058920502662659,,
3,linear,6,4,['Sc'],[1],[0],['Be' 'Ti' 'Co' 'Zn' 'Y' 'Zr' 'Ru' 'Pr' 'Nd' 'Gd' 'Tb' 'Dy' 'Ho' 'Er' 'Tm' 'Lu' 'Re' 'Os' 'Tl' 'Tc'],[1 0 1 1 0 1 1 0 0 0 1 1 1 0 0 0 1 0 1 0],[0 0 0 1 0 1 1 0 0 1 1 0 0 0 0 0 1 1 1 1],0.6826878786087036,0.8084516525268555,,
3,linear,6,5,['Sc'],[1],[1],['Be' 'Ti' 'Co' 'Zn' 'Y' 'Zr' 'Ru' 'Pr' 'Nd' 'Gd' 'Tb' 'Dy' 'Ho' 'Er' 'Tm' 'Lu' 'Re' 'Os' 'Tl' 'Tc'],[0 1 0 0 1 0 1 0 0 0 1 1 1 0 1 1 1 0 0 1],[0 0 1 0 1 0 1 0 0 0 1 1 1 0 1 1 1 0 0 0],0.6076898574829102,0.6110992431640625,,
3,linear,6,6,['Sc'],[1],[1],['Be' 'Ti' 'Co' 'Zn' 'Y' 'Zr' 'Ru' 'Pr' 'Nd' 'Gd' 'Tb' 'Dy' 'Ho' 'Er' 'Tm' 'Lu' 'Re' 'Os' 'Tl' 'Tc'],[1 1 0 1 0 0 0 1 0 0 1 1 1 1 0 0 0 1 1 0],[1 1 1 1 1 0 0 1 0 0 1 1 1 1 1 1 1 1 0 0],0.6751546859741211,0.5169907808303833,,
3,full,1,1,['Sc'],[1],[1],['Be' 'Ti' 'Co' 'Zn' 'Y' 'Zr' 'Ru' 'Pr' 'Nd' 'Gd' 'Tb' 'Dy' 'Ho' 'Er' 'Tm' 'Lu' 'Re' 'Os' 'Tl' 'Tc'],[1 0 0 0 1 0 0 0 0 1 0 1 1 1 0 1 1 0 1 1],[1 0 0 0 1 0 0 0 1 1 0 0 1 1 0 1 1 1 1 1],0.6289856433868408,0.648349404335022,,
3,full,1,2,['Sc'],[1],[1],['Be' 'Ti' 'Co' 'Zn' 'Y' 'Zr' 'Ru' 'Pr' 'Nd' 'Gd' 'Tb' 'Dy' 'Ho' 'Er' 'Tm' 'Lu' 'Re' 'Os' 'Tl' 'Tc'],[1 0 0 0 1 1 1 0 0 1 1 0 1 1 0 0 1 1 0 0],[1 0 1 1 1 1 1 1 0 1 1 0 1 1 0 0 1 1 0 0],0.6462121605873108,0.6660526394844055,,
3,full,1,3,['Sc'],[1],[0],['Be' 'Ti' 'Co' 'Zn' 'Y' 'Zr' 'Ru' 'Pr' 'Nd' 'Gd' 'Tb' 'Dy' 'Ho' 'Er' 'Tm' 'Lu' 'Re' 'Os' 'Tl' 'Tc'],[0 0 0 1 0 0 0 0 1 0 1 1 1 1 1 1 0 1 0 1],[1 1 0 1 0 0 1 0 1 0 1 1 1 1 1 1 1 1 0 1],0.6441041827201843,0.6957066059112549,,
3,full,1,4,['Sc'],[1],[1],['Be' 'Ti' 'Co' 'Zn' 'Y' 'Zr' 'Ru' 'Pr' 'Nd' 'Gd' 'Tb' 'Dy' 'Ho' 'Er' 'Tm' 'Lu' 'Re' 'Os' 'Tl' 'Tc'],[0 0 0 1 0 0 1 0 0 0 1 1 1 0 1 1 0 1 1 1],[1 0 1 1 1 0 1 1 1 0 1 1 1 1 1 1 0 1 1 1],0.6441015005111694,0.6564006805419922,,
3,full,1,5,['Sc'],[1],[1],['Be' 'Ti' 'Co' 'Zn' 'Y' 'Zr' 'Ru' 'Pr' 'Nd' 'Gd' 'Tb' 'Dy' 'Ho' 'Er' 'Tm' 'Lu' 'Re' 'Os' 'Tl' 'Tc'],[1 1 0 0 1 1 0 1 1 1 1 0 0 0 0 1 0 1 0 0],[1 1 0 0 1 1 0 1 1 1 1 0 1 1 0 1 0 1 0 0],0.5597949028015137,0.5969523191452026,,
3,full,1,6,['Sc'],[1],[1],['Be' 'Ti' 'Co' 'Zn' 'Y' 'Zr' 'Ru' 'Pr' 'Nd' 'Gd' 'Tb' 'Dy' 'Ho' 'Er' 'Tm' 'Lu' 'Re' 'Os' 'Tl' 'Tc'],[0 0 0 1 1 0 0 1 1 0 1 0 1 0 0 1 1 1 1 0],[0 0 0 1 1 1 0 1 1 1 1 0 1 0 1 1 1 1 1 0],0.5994130373001099,0.548139214515686,,
